,gene,disease
0,A1BG,Hepatomegaly
1,A1BG,Schizophrenia
2,A2M,Alzheimer's Disease
3,A2M,Malignant tumor of colon
4,A2M,Colonic Neoplasms
5,A2M,Presenile dementia
6,A2M,Mental Depression
7,A2M,Depressive disorder
8,A2M,Hepatolenticular Degeneration
9,A2M,"Kidney Failure, Acute"
10,A2M,Liver Cirrhosis
11,A2M,"Liver Cirrhosis, Experimental"
12,A2M,Lung diseases
13,A2M,Lung Neoplasms
14,A2M,Nephrotic Syndrome
15,A2M,Hepatocellular Adenoma
16,A2M,"Fibrosis, Liver"
17,A2M,Malignant neoplasm of lung
18,A2M,Familial Alzheimer Disease (FAD)
19,A2M,"Alzheimer Disease, Late Onset"
20,A2M,Acute Confusional Senile Dementia
21,A2M,"Alzheimer's Disease, Focal Onset"
22,A2M,"Alzheimer Disease, Early Onset"
23,A2M,Hepatic Form of Wilson Disease
24,A2M,Acute Kidney Insufficiency
25,A2M,Liver carcinoma
26,A2M,Acute kidney injury
27,A2M,alpha-2-Macroglobulin Deficiency
28,NAT1,"Alcoholic Intoxication, Chronic"
29,NAT1,Autosome Abnormalities
30,NAT1,Malignant neoplasm of urinary bladder
31,NAT1,Bladder Neoplasm
32,NAT1,Malignant Neoplasms
33,NAT1,Chromosome Aberrations
34,NAT1,Drug toxicity
35,NAT1,Neoplasms
36,NAT1,"Dermatitis, Occupational"
37,NAT1,Prostatic Neoplasms
38,NAT1,Adverse reaction to drug
39,NAT1,Industrial Dermatosis
40,NAT1,Benign Neoplasm
41,NAT1,Malignant neoplasm of prostate
42,NAT2,Malignant neoplasm of urinary bladder
43,NAT2,Bladder Neoplasm
44,NAT2,Malignant neoplasm of breast
45,NAT2,Coronary Arteriosclerosis
46,NAT2,Diastematomyelia
47,NAT2,Drug Allergy
48,NAT2,Drug toxicity
49,NAT2,"Hepatitis, Toxic"
50,NAT2,Childhood Acute Lymphoblastic Leukemia
51,NAT2,L2 Acute Lymphoblastic Leukemia
52,NAT2,Leukopenia
53,NAT2,Liver neoplasms
54,NAT2,Neural Tube Defects
55,NAT2,Neurenteric Cyst
56,NAT2,"Dermatitis, Occupational"
57,NAT2,Prostatic Neoplasms
58,NAT2,Adverse reaction to drug
59,NAT2,Tethered Cord Syndrome
60,NAT2,Industrial Dermatosis
61,NAT2,Iniencephaly
62,NAT2,Craniorachischisis
63,NAT2,Exencephaly
64,NAT2,Spinal Cord Myelodysplasia
65,NAT2,Malignant neoplasm of liver
66,NAT2,Malignant mesothelioma
67,NAT2,Malignant neoplasm of prostate
68,NAT2,Breast Carcinoma
69,NAT2,Acrania
70,NAT2,Drug-Induced Liver Disease
71,NAT2,"Mammary Neoplasms, Human"
72,NAT2,"Hepatitis, Drug-Induced"
73,NAT2,Mammary Neoplasms
74,NAT2,Coronary Artery Disease
75,NAT2,Precursor Cell Lymphoblastic Leukemia Lymphoma
76,NAT2,Liver carcinoma
77,NAT2,Drug-Induced Acute Liver Injury
78,NAT2,Chemical and Drug Induced Liver Injury
79,NAT2,Chemically-Induced Liver Toxicity
80,NAT2,"Mammary Carcinoma, Human"
81,SERPINA3,Lipoidosis
82,SERPINA3,Prostatic Neoplasms
83,SERPINA3,Malignant neoplasm of prostate
84,AADAC,"Liver Cirrhosis, Experimental"
85,AANAT,"Depression, Bipolar"
86,AANAT,Mental Depression
87,AANAT,Depressive disorder
88,AANAT,Delayed Sleep Phase Syndrome
89,AANAT,Nonorganic Sleep Wake Cycle Disorders
90,AANAT,Advanced Sleep Phase Syndrome
91,AANAT,Non-24 Hour Sleep-Wake Disorder
92,AANAT,Shift-Work Sleep Disorder
93,AANAT,"Sleep Disorders, Circadian Rhythm"
94,AARS1,"Charcot-Marie-Tooth Disease, Axonal, Type 2n"
95,AARS1,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29"
96,ABAT,Autistic Disorder
97,ABAT,Gastroesophageal reflux disease
98,ABAT,Jacksonian Seizure
99,ABAT,Lethargy
100,ABAT,"Liver Cirrhosis, Experimental"
101,ABAT,Flaccid Muscle Tone
102,ABAT,Muscle hypotonia
103,ABAT,Psychomotor Disorders
104,ABAT,"Reflex, Abnormal"
105,ABAT,Seizures
106,ABAT,Complex partial seizures
107,ABAT,"Reflex, Corneal, Decreased"
108,ABAT,Hyporeflexia
109,ABAT,Hyperreflexia
110,ABAT,Absent reflex
111,ABAT,Generalized seizures
112,ABAT,Clonic Seizures
113,ABAT,"Reflex, Gag, Absent"
114,ABAT,"Reflex, Deep Tendon, Absent"
115,ABAT,Visual seizure
116,ABAT,Tonic Seizures
117,ABAT,Epileptic drop attack
118,ABAT,Hoffman's Reflex
119,ABAT,"Reflex, Pendular"
120,ABAT,"Reflex, Corneal, Absent"
121,ABAT,Gamma aminobutyric acid transaminase deficiency
122,ABAT,"Seizures, Somatosensory"
123,ABAT,"Seizures, Auditory"
124,ABAT,Olfactory seizure
125,ABAT,Gustatory seizure
126,ABAT,Vertiginous seizure
127,ABAT,Motor retardation
128,ABAT,Developmental delay (disorder)
129,ABAT,Floppy Muscles
130,ABAT,Muscle Tone Atonic
131,ABAT,Tonic - clonic seizures
132,ABAT,"Reflex, Acoustic, Abnormal"
133,ABAT,Global developmental delay
134,ABAT,"Reflex, Ankle, Absent"
135,ABAT,"Reflex, Triceps, Absent"
136,ABAT,"Reflex, Biceps, Absent"
137,ABAT,"Reflex, Anal, Absent"
138,ABAT,Abnormal Deep Tendon Reflex
139,ABAT,Non-epileptic convulsion
140,ABAT,Single Seizure
141,ABAT,Atonic Absence Seizures
142,ABAT,Unilateral Hypotonia
143,ABAT,Developmental Psychomotor Disorders
144,ABAT,"Bulbocavernosus Reflex, Decreased"
145,ABAT,Bulbocavernousus Reflex Absent
146,ABAT,Palmo-Mental Reflex
147,ABAT,"Reflex, Anal, Decreased"
148,ABAT,"Reflex, Ankle, Abnormal"
149,ABAT,"Reflex, Ankle, Decreased"
150,ABAT,"Reflex, Biceps, Abnormal"
151,ABAT,"Reflex, Biceps, Decreased"
152,ABAT,"Reflex, Gag, Decreased"
153,ABAT,"Reflex, Knee, Abnormal"
154,ABAT,"Reflex, Knee, Decreased"
155,ABAT,"Reflex, Moro, Asymmetric"
156,ABAT,"Reflex, Triceps, Abnormal"
157,ABAT,"Reflex, Triceps, Decreased"
158,ABAT,Convulsive Seizures
159,ABAT,"Seizures, Focal"
160,ABAT,"Seizures, Sensory"
161,ABAT,Neonatal Hypotonia
162,ABAT,Nonepileptic Seizures
163,ABAT,Convulsions
164,ABAT,Absence Seizures
165,ABAT,Epileptic Seizures
166,ABAT,Myoclonic Seizures
167,ABAT,Generalized Absence Seizures
168,ABCA1,Atherosclerosis
169,ABCA1,Colorectal Carcinoma
170,ABCA1,Colorectal Neoplasms
171,ABCA1,Hypercholesterolemia
172,ABCA1,"Hypercholesterolemia, Familial"
173,ABCA1,"Kidney Failure, Chronic"
174,ABCA1,Schizophrenia
175,ABCA1,Tangier Disease
176,ABCA1,Apolipoprotein A-I deficiency
177,ABCA1,Hypoalphalipoproteinemias
178,ABCA1,Hyperlipoproteinemia Type IIa
179,ABCA1,Tangier Disease Neuropathy
180,ABCA1,Atherogenesis
181,ABCA1,Hyperlipoproteinemia Type IIb
182,ABCA1,"Hypoalphalipoproteinemia, Familial"
183,ABCA1,Familial HDL deficiency
184,ABCA1,"Hdl Deficiency, Type 2"
185,ABCA1,Peripheral Nervous System Diseases
186,ABCA3,Malignant neoplasm of breast
187,ABCA3,Colorectal Carcinoma
188,ABCA3,Colorectal Neoplasms
189,ABCA3,Pathological accumulation of air in tissues
190,ABCA3,Hyaline Membrane Disease
191,ABCA3,Pulmonary Hypertension
192,ABCA3,Pulmonary Fibrosis
193,ABCA3,"Respiratory Distress Syndrome, Newborn"
194,ABCA3,Hamman-Rich syndrome
195,ABCA3,Respiratory Distress Syndrome
196,ABCA3,Idiopathic Pulmonary Fibrosis
197,ABCA3,Cataract microcornea syndrome
198,ABCA3,"Surfactant Metabolism Dysfunction, Pulmonary, 3"
199,ABCA3,"Alveolitis, Fibrosing"
200,ABCB7,Sideroblastic anemia
201,ABCB7,Ataxia
202,ABCB7,"Ataxia, Sensory"
203,ABCB7,"Ataxia, Motor"
204,ABCB7,"Ataxia, Truncal"
205,ABCB7,Abnormal coordination
206,ABCB7,"Ataxia, Appendicular"
207,ABCB7,"Tremor, Rubral"
208,ABCB7,"ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA"
209,ABCF1,Hypersensitivity
210,ABCF1,Pneumonia
211,ABCF1,Lobar Pneumonia
212,ABCF1,Disease Exacerbation
213,ABCF1,Experimental Lung Inflammation
214,ABCF1,Allergic Reaction
215,ABCF1,Pneumonitis
216,ABCA4,Malignant neoplasm of breast
217,ABCA4,Cleft upper lip
218,ABCA4,Colorectal Carcinoma
219,ABCA4,Colorectal Neoplasms
220,ABCA4,Disorder of eye
221,ABCA4,Retinitis Pigmentosa
222,ABCA4,Age related macular degeneration
223,ABCA4,Stargardt's disease
224,ABCA4,Familial Exudative Vitreoretinopathy
225,ABCA4,STARGARDT DISEASE 1 (disorder)
226,ABCA4,"Retinal Dystrophy, Early Onset Severe"
227,ABCA4,CONE-ROD DYSTROPHY 3 (disorder)
228,ABCA4,RETINITIS PIGMENTOSA 19
229,ABCA4,Cone-Rod Dystrophy 2
230,ABCA4,"Macular Degeneration, Age-Related, 2"
231,ABCA4,Juvenile macular degeneration
232,ABL1,Adenocarcinoma
233,ABL1,Arachnodactyly
234,ABL1,"Bone Diseases, Developmental"
235,ABL1,Malignant neoplasm of breast
236,ABL1,Burkitt Lymphoma
237,ABL1,Esophageal Neoplasms
238,ABL1,Failure to Thrive
239,ABL1,Congenital Heart Defects
240,ABL1,Childhood Acute Lymphoblastic Leukemia
241,ABL1,L2 Acute Lymphoblastic Leukemia
242,ABL1,"Myeloid Leukemia, Chronic"
243,ABL1,Liver neoplasms
244,ABL1,melanoma
245,ABL1,"Neoplasms, Experimental"
246,ABL1,Precancerous Conditions
247,ABL1,Syndactyly
248,ABL1,Congenital musculoskeletal anomalies
249,ABL1,"Adenocarcinoma, Basal Cell"
250,ABL1,"Adenocarcinoma, Oxyphilic"
251,ABL1,"Carcinoma, Cribriform"
252,ABL1,"Carcinoma, Granular Cell"
253,ABL1,"Adenocarcinoma, Tubular"
254,ABL1,Clinodactyly of fingers
255,ABL1,"Condition, Preneoplastic"
256,ABL1,Malignant neoplasm of liver
257,ABL1,Large cell carcinoma of lung
258,ABL1,Malignant neoplasm of esophagus
259,ABL1,Carcinogenesis
260,ABL1,Breast Carcinoma
261,ABL1,"Mammary Neoplasms, Human"
262,ABL1,Precursor B-cell lymphoblastic leukemia
263,ABL1,Mammary Neoplasms
264,ABL1,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
265,ABL1,Precursor Cell Lymphoblastic Leukemia Lymphoma
266,ABL1,CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME
267,ABL1,Clinodactyly
268,ABL1,"Mammary Carcinoma, Human"
269,AOC1,Cardiomegaly
270,AOC1,Hypertensive disease
271,AOC1,Cardiac Hypertrophy
272,ABO,"Alcoholic Intoxication, Chronic"
273,ABO,Coronary Arteriosclerosis
274,ABO,Curling Ulcer
275,ABO,Duodenal Ulcer
276,ABO,Pancreatic Neoplasm
277,ABO,Prostatic Neoplasms
278,ABO,Cerebrovascular accident
279,ABO,Alcohol abuse
280,ABO,Malignant neoplasm of pancreas
281,ABO,Malignant neoplasm of prostate
282,ABO,Mood Disorders
283,ABO,Acute Cerebrovascular Accidents
284,ABO,Coronary Artery Disease
285,ABO,Diverticular Diseases
286,ABO,Diverticular Bleeding
287,ABO,"Carcinoma, Ovarian Epithelial"
288,ABR,Prostatic Neoplasms
289,ABR,Malignant neoplasm of prostate
290,ACACA,Colorectal Carcinoma
291,ACACA,Heart failure
292,ACACA,Congestive heart failure
293,ACACA,Left-Sided Heart Failure
294,ACACA,"Heart Failure, Right-Sided"
295,ACACA,Acetyl-CoA: carboxylase deficiency
296,ACACA,Myocardial Failure
297,ACACA,Heart Decompensation
298,ACACA,Liver carcinoma
299,ACACB,Insulin Resistance
