,gene1,gene2
0,0,41
1,0,477
2,0,1465
3,0,1945
4,0,3593
5,0,4760
6,0,6225
7,0,7063
8,0,8421
9,0,8444
10,0,9089
11,1,126
12,1,155
13,1,165
14,1,167
15,1,178
16,1,401
17,1,476
18,1,477
19,1,529
20,1,530
21,1,537
22,1,657
23,1,704
24,1,732
25,1,760
26,1,762
27,1,802
28,1,1159
29,1,1407
30,1,1453
31,1,1460
32,1,1465
33,1,1499
34,1,1575
35,1,1896
36,1,2043
37,1,2046
38,1,2111
39,1,2115
40,1,2129
41,1,2131
42,1,2238
43,1,2400
44,1,2573
45,1,2615
46,1,2671
47,1,2713
48,1,2991
49,1,2996
50,1,3307
51,1,3333
52,1,3345
53,1,3433
54,1,3592
55,1,3694
56,1,3847
57,1,3897
58,1,4012
59,1,4022
60,1,4094
61,1,4095
62,1,4163
63,1,4190
64,1,4220
65,1,4601
66,1,4602
67,1,4721
68,1,4753
69,1,4760
70,1,4853
71,1,4884
72,1,4948
73,1,5003
74,1,5049
75,1,5076
76,1,5603
77,1,5644
78,1,5844
79,1,5911
80,1,6056
81,1,6147
82,1,6281
83,1,6451
84,1,6588
85,1,6589
86,1,6780
87,1,7061
88,1,7155
89,1,7346
90,1,7370
91,1,7403
92,1,7518
93,1,7563
94,1,7872
95,1,8077
96,1,8229
97,1,8421
98,1,8743
99,1,9026
100,1,9030
101,1,9033
102,1,9089
103,1,9215
104,1,9286
105,1,9303
106,1,9437
107,1,9498
108,1,9501
109,1,9543
110,1,9626
111,1,9721
112,2,3160
113,2,6042
114,2,9866
115,4,4331
116,4,4629
117,4,6275
118,4,6288
119,4,7504
120,4,8957
121,4,8958
122,4,9565
123,7,488
124,7,491
125,7,2669
126,7,9627
127,8,911
128,8,2863
129,8,7080
130,8,9917
131,10,936
132,10,1450
133,10,5163
134,10,7403
135,10,7637
136,10,8114
137,10,9916
138,11,5789
139,11,8985
140,12,127
141,12,693
142,12,1456
143,12,1457
144,12,2398
145,12,2462
146,12,4016
147,12,7007
148,12,7480
149,12,8206
150,12,8208
151,12,8209
152,12,8210
153,12,8214
154,12,8655
155,12,8727
156,13,359
157,13,830
158,13,1947
159,14,16
160,14,482
161,14,516
162,14,593
163,14,594
164,14,778
165,14,1407
166,14,1853
167,14,1855
168,14,1933
169,14,2001
170,14,2002
171,14,2355
172,14,2357
173,14,2613
174,14,2882
175,14,3112
176,14,3517
177,14,3831
178,14,4156
179,14,4797
180,14,4802
181,14,4803
182,14,4842
183,14,5638
184,14,5789
185,14,6200
186,14,6605
187,14,6606
188,14,6623
189,14,6882
190,14,7080
191,14,7132
192,14,7409
193,14,7582
194,14,7922
195,14,8073
196,14,8474
197,14,8607
198,14,8748
199,14,9033
200,14,9067
201,14,9366
202,14,9582
