,mir,disease
0,0,461
1,0,464
2,0,468
3,0,479
4,0,534
5,0,905
6,0,944
7,0,984
8,0,1044
9,0,1080
10,0,1444
11,0,1445
12,0,1557
13,0,2116
14,0,2117
15,0,2120
16,0,2124
17,0,2135
18,0,2142
19,0,2143
20,0,2147
21,0,2158
22,0,2160
23,0,2162
24,0,2164
25,0,2188
26,0,2198
27,0,2225
28,0,2232
29,0,2510
30,0,2572
31,0,2587
32,0,2695
33,0,2707
34,0,2710
35,0,2970
36,0,3446
37,0,3457
38,0,3465
39,0,3994
40,0,4133
41,0,4134
42,0,4657
43,0,4748
44,0,5132
45,0,5133
46,0,5420
47,0,5566
48,0,5937
49,0,6004
50,0,6017
51,0,6051
52,0,6476
53,0,6585
54,0,6603
55,0,6645
56,0,7561
57,0,7819
58,0,7831
59,0,7836
60,0,7838
61,0,7890
62,0,7892
63,0,7945
64,0,7957
65,0,8180
66,0,8250
67,0,8666
68,0,8693
69,0,9235
70,0,9295
71,0,9410
72,0,9525
73,0,9932
74,0,9976
75,0,10465
76,0,10760
77,0,10761
78,0,11075
79,0,11460
80,0,11514
81,1,461
82,1,909
83,1,984
84,1,1557
85,1,2113
86,1,2135
87,1,2143
88,1,2198
89,1,2225
90,1,2510
91,1,2587
92,1,2695
93,1,2710
94,1,2970
95,1,3540
96,1,3988
97,1,3994
98,1,4657
99,1,4669
100,1,5117
101,1,5133
102,1,5231
103,1,5234
104,1,5542
105,1,5566
106,1,5937
107,1,6384
108,1,6645
109,1,7465
110,1,7836
111,1,7847
112,1,7873
113,1,7890
114,1,7957
115,1,8140
116,1,8666
117,1,8693
118,1,9038
119,1,9525
120,1,9917
121,1,9976
122,1,10761
123,1,10762
124,1,10831
125,1,11148
126,1,11369
127,2,461
128,2,909
129,2,984
130,2,1557
131,2,2113
132,2,2135
133,2,2143
134,2,2198
135,2,2225
136,2,2510
137,2,2568
138,2,2587
139,2,2710
140,2,2970
141,2,3540
142,2,3994
143,2,4657
144,2,5117
145,2,5133
146,2,5231
147,2,5234
