,mir,gene
0,hsa-mir-20a-5p,HIF1A
1,hsa-mir-20a-5p,HIF1A
2,hsa-mir-21-5p,RASGRP1
3,hsa-mir-765,NTRK3
4,hsa-mir-7-5p,SNCA
5,hsa-mir-7-5p,SNCA
6,hsa-mir-661,MTA1
7,hsa-mir-559,ERBB2
8,hsa-mir-548d-3p,ERBB2
9,hsa-mir-485-3p,NTRK3
10,hsa-mir-451a,MIF
11,hsa-mir-451a,MIF
12,hsa-mir-451a,MIF
13,hsa-mir-451a,MIF
14,hsa-mir-429,ZEB2
15,hsa-mir-429,ZEB2
16,hsa-mir-429,ZEB2
17,hsa-mir-429,ZEB2
18,hsa-mir-375,TIMM8A
19,hsa-mir-375,TIMM8A
20,hsa-mir-375,MTPN
21,hsa-mir-375,PDK1
22,hsa-mir-375,PDK1
23,hsa-mir-375,PDK1
24,hsa-mir-375,PDK1
25,hsa-mir-373-3p,RAD23B
26,hsa-mir-34a-5p,GRM7
27,hsa-mir-34a-5p,JAG1
28,hsa-mir-34a-5p,JAG1
29,hsa-mir-34a-5p,JAG1
30,hsa-mir-346,EFEMP2
31,hsa-mir-326,GLI1
32,hsa-mir-298,BACE1
33,hsa-mir-221-3p,CDKN1B
34,hsa-mir-221-3p,CDKN1B
35,hsa-mir-221-3p,CDKN1B
36,hsa-mir-221-3p,CDKN1B
37,hsa-mir-221-3p,CDKN1B
38,hsa-mir-221-3p,CDKN1B
39,hsa-mir-221-3p,CDKN1B
40,hsa-mir-221-3p,CDKN1B
41,hsa-mir-221-3p,CDKN1B
42,hsa-mir-221-3p,CDKN1B
43,hsa-mir-221-3p,CDKN1B
44,hsa-mir-221-3p,CDKN1B
45,hsa-mir-221-3p,CDKN1B
46,hsa-mir-221-3p,CDKN1B
47,hsa-mir-221-3p,CDKN1B
48,hsa-mir-221-3p,CDKN1B
49,hsa-mir-221-3p,CDKN1B
50,hsa-mir-221-3p,CDKN1B
51,hsa-mir-221-3p,CDKN1B
52,hsa-mir-221-3p,CDKN1B
53,hsa-mir-221-3p,CDKN1B
54,hsa-mir-221-3p,CDKN1B
55,hsa-mir-221-3p,BCL2L11
56,hsa-mir-221-3p,BMF
57,hsa-mir-217,SIRT1
58,hsa-mir-217,SIRT1
59,hsa-mir-21-5p,CDC25A
60,hsa-mir-21-5p,CDC25A
61,hsa-mir-21-5p,BCL2
62,hsa-mir-21-5p,BCL2
63,hsa-mir-21-5p,BCL2
64,hsa-mir-21-5p,BCL2
65,hsa-mir-21-5p,BCL2
66,hsa-mir-21-5p,BCL2
67,hsa-mir-21-5p,BCL2
68,hsa-mir-21-5p,BCL2
69,hsa-mir-21-5p,TM9SF3
70,hsa-mir-21-5p,RTN4
71,hsa-mir-21-5p,RPS7
72,hsa-mir-21-5p,PLOD3
73,hsa-mir-21-5p,NCAPG
74,hsa-mir-21-5p,DERL1
75,hsa-mir-21-5p,BASP1
76,hsa-mir-21-5p,JAG1
77,hsa-mir-21-5p,JAG1
78,hsa-mir-21-5p,REST
79,hsa-mir-20a-5p,TCEAL1
80,hsa-mir-20a-5p,CCND1
81,hsa-mir-20a-5p,CCND1
82,hsa-mir-20a-5p,CCND1
83,hsa-mir-20a-5p,E2F1
84,hsa-mir-20a-5p,E2F1
85,hsa-mir-20a-5p,E2F1
86,hsa-mir-20a-5p,E2F1
87,hsa-mir-20a-5p,E2F1
88,hsa-mir-20a-5p,E2F1
89,hsa-mir-20a-5p,E2F1
90,hsa-mir-20a-5p,BMPR2
91,hsa-mir-206,MET
92,hsa-mir-206,MET
93,hsa-mir-206,MET
94,hsa-mir-206,MET
95,hsa-mir-204-5p,MEIS1
96,hsa-mir-204-5p,HOXA10
97,hsa-mir-204-5p,BCL2
98,hsa-mir-204-5p,BCL2
99,hsa-mir-204-5p,BCL2
100,hsa-mir-204-5p,BCL2
101,hsa-mir-204-5p,BCL2
102,hsa-mir-204-5p,BCL2
103,hsa-mir-200c-3p,TUBB3
104,hsa-mir-200c-3p,TUBB3
105,hsa-mir-200c-3p,TUBB3
106,hsa-mir-200c-3p,TUBB3
107,hsa-mir-200c-3p,TUBB3
108,hsa-mir-200c-3p,BMI1
109,hsa-mir-200c-3p,BMI1
110,hsa-mir-200c-3p,BMI1
111,hsa-mir-200b-3p,PTPN12
112,hsa-mir-200a-3p,DLX5
113,hsa-mir-199b-5p,HES1
114,hsa-mir-199b-5p,HES1
115,hsa-mir-195-5p,WEE1
116,hsa-mir-195-5p,WEE1
117,hsa-mir-195-5p,E2F3
118,hsa-mir-195-5p,E2F3
119,hsa-mir-195-5p,CDK6
120,hsa-mir-195-5p,CDK6
121,hsa-mir-195-5p,CCND1
122,hsa-mir-195-5p,CCND1
123,hsa-mir-195-5p,CCND1
124,hsa-mir-195-5p,CCND1
125,hsa-mir-195-5p,CCND1
126,hsa-mir-181b-5p,NLK
127,hsa-mir-181b-5p,GATA6
128,hsa-mir-181b-5p,GATA6
129,hsa-mir-181b-5p,CDX2
130,hsa-mir-17-5p,ZNFX1
131,hsa-mir-17-5p,CCL1
132,hsa-mir-17-5p,GPR137B
133,hsa-mir-17-5p,NABP1
134,hsa-mir-17-5p,NPAT
135,hsa-mir-17-5p,YES1
136,hsa-mir-17-5p,YES1
137,hsa-mir-155-5p,MEIS1
138,hsa-mir-155-5p,TAB2
139,hsa-mir-155-5p,TAB2
140,hsa-mir-155-5p,TAB2
141,hsa-mir-155-5p,TAB2
142,hsa-mir-155-5p,TAB2
143,hsa-mir-145-5p,BNIP3
144,hsa-mir-145-5p,KLF5
145,hsa-mir-145-5p,KLF5
146,hsa-mir-145-5p,SOX2
147,hsa-mir-145-5p,SOX2
148,hsa-mir-145-5p,SOX2
149,hsa-mir-145-5p,SOX2
150,hsa-mir-145-5p,KLF4
151,hsa-mir-145-5p,KLF4
152,hsa-mir-145-5p,KLF4
153,hsa-mir-145-5p,KLF4
154,hsa-mir-145-5p,KLF4
155,hsa-mir-141-3p,ZEB2
156,hsa-mir-141-3p,ZEB2
157,hsa-mir-141-3p,ZEB2
158,hsa-mir-141-3p,ZEB2
159,hsa-mir-141-3p,ZEB2
160,hsa-mir-141-3p,ZEB2
161,hsa-mir-141-3p,ZEB1
162,hsa-mir-141-3p,ZEB1
163,hsa-mir-141-3p,ZEB1
164,hsa-mir-141-3p,ZEB1
