,disease
0,11-Beta-hydroxylase deficiency
1,12p12.1 microdeletion syndrome
2,12q14 microdeletion syndrome
3,14q11.2 microduplication syndrome
4,14q12 microdeletion syndrome
5,15q24 Microdeletion
6,16q24.3 microdeletion syndrome
7,"17,20-Lyase Deficiency, Isolated"
8,17-Hydroxysteroid Dehydrogenase Deficiency
9,17p11.2 Monosomy
10,1p21.3 microdeletion syndrome
11,1p31p32 microdeletion syndrome
12,1q44 microdeletion syndrome
13,"2,4-Dienoyl-CoA Reductase Deficiency"
14,"2,8-Dihydroxyadenine Urolithiasis"
15,2-AMINOADIPIC 2-OXOADIPIC ACIDURIA
16,2-Methylbutyryl-CoA Dehydrogenase Deficiency
17,2-methyl-3-hydroxybutyric aciduria
18,"2-oxo-hept-3-ene-1,7-dioate hydratase activity"
19,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity
20,20p12.3 microdeletion syndrome
21,22q11 Deletion Syndrome
22,22q11 partial monosomy syndrome
23,22q13.3 Deletion Syndrome
24,2p21 microdeletion syndrome
25,2p21 microdeletion syndrome without cystinuria
26,2q23.1 microdeletion syndrome
27,2q33.1 microdeletion syndrome
28,3 beta-Hydroxysteroid dehydrogenase deficiency
29,"3-@METHYLGLUTACONIC ACIDURIA, TYPE I"
30,"3-@METHYLGLUTACONIC ACIDURIA, TYPE V"
31,3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency
32,3-Hydroxyacyl-CoA Dehydrogenase Deficiency
33,"3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME"
34,"3-METHYLGLUTACONIC ACIDURIA, TYPE IX"
35,"3-METHYLGLUTACONIC ACIDURIA, TYPE VIII"
36,3-Methylglutaconic aciduria type 1
37,3-Methylglutaconic aciduria type 2
38,3-Methylglutaconic aciduria type 3
39,3-Phosphoglycerate dehydrogenase deficiency
40,3-methylcrotonyl CoA carboxylase 1 deficiency
41,3-methylcrotonyl CoA carboxylase 2 deficiency
42,3-methylglutaconic aciduria type 5
43,3-methylglutaconic aciduria type 7
44,"3-methylglutaconic aciduria type IV with sensorineural deafness, encephalopathy and Leigh-like syndrome"
45,3C syndrome
46,"46, XX Disorders of Sex Development"
47,"46, XX Testicular Disorders of Sex Development"
48,"46, XY Disorders of Sex Development"
49,"46, XY Sex Reversal 5"
50,"46,XX SEX REVERSAL 3"
51,"46,XX SEX REVERSAL 4"
52,"46,XY Disorder of Sex Development Due To LH Defects"
53,"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related"
54,"46,XY SEX REVERSAL 6"
55,"46,XY SEX REVERSAL 9"
56,"46,XY Sex Reversal 3"
57,"46,XY partial gonadal dysgenesis"
58,"46,Xy Gonadal Dysgenesis, Complete, Sry-Related"
59,"46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy"
60,5-Alpha Reductase Deficiency
61,5-oxoprolinase deficiency
62,5q-syndrome
63,5q14.3 microdeletion syndrome
64,5q35 microduplication syndrome
65,6 alpha mercaptopurine sensitivity
66,6-pyruvoyl-tetrahydropterin synthase deficiency
67,6q terminal deletion syndrome
