,gene
0,A1BG
1,A2M
2,A2ML1
3,A4GALT
4,AAAS
5,AADAC
6,AADAT
7,AAGAB
8,AANAT
9,AARS1
10,AARS2
11,AASS
12,AATK
13,ABAT
14,ABCA1
15,ABCA10
16,ABCA12
17,ABCA13
18,ABCA3
19,ABCA4
20,ABCA5
21,ABCA6
22,ABCA7
23,ABCA8
24,ABCA9
25,ABCB1
26,ABCB10
27,ABCB11
28,ABCB4
29,ABCB5
30,ABCB6
31,ABCB7
32,ABCB8
33,ABCC1
34,ABCC11
35,ABCC12
36,ABCC13
37,ABCC2
38,ABCC3
39,ABCC4
40,ABCC5
41,ABCC6
42,ABCC8
43,ABCC9
44,ABCD1
45,ABCD2
46,ABCD3
47,ABCD4
48,ABCE1
49,ABCF1
50,ABCF2
51,ABCG1
52,ABCG2
53,ABCG5
54,ABCG8
55,ABHD12
56,ABHD12B
57,ABHD17C
58,ABHD5
59,ABI1
60,ABI3
61,ABI3BP
62,ABL1
63,ABL2
64,ABLIM1
65,ABLIM2
66,ABLIM3
67,ABO
68,ABR
69,ABRA
70,ABRACL
71,ABRAXAS1
72,ABT1
73,ACAA2
74,ACACA
75,ACACB
76,ACAD8
77,ACAD9
78,ACADL
79,ACADM
80,ACADS
81,ACADSB
82,ACADVL
83,ACAN
84,ACAP1
85,ACAT1
86,ACAT2
87,ACBD4
88,ACBD5
89,ACBD6
90,ACCS
91,ACD
92,ACE
93,ACE2
94,ACER3
95,ACHE
96,ACIN1
97,ACKR1
98,ACKR3
99,ACKR4
100,ACLY
101,ACO1
102,ACO2
103,ACOT1
104,ACOT2
105,ACOT6
106,ACOT9
107,ACOX1
108,ACOX2
109,ACOX3
110,ACOXL
111,ACP1
112,ACP2
113,ACP3
114,ACP4
115,ACP5
116,ACRBP
117,ACSF3
118,ACSL1
119,ACSL4
120,ACSL5
121,ACSL6
122,ACSM1
123,ACSM3
124,ACTA1
125,ACTA2
126,ACTB
127,ACTC1
128,ACTG1
129,ACTG2
130,ACTL6A
131,ACTL6B
132,ACTL9
133,ACTN1
134,ACTN2
135,ACTN4
136,ACTR2
137,ACTR3
138,ACTRT1
139,ACTRT2
140,ACVR1
141,ACVR1B
142,ACVR1C
143,ACVR2A
144,ACVR2B
145,ACVRL1
146,ACY1
147,ACYP2
148,ADA
149,ADA2
150,ADAM10
151,ADAM11
152,ADAM12
153,ADAM17
154,ADAM18
155,ADAM19
156,ADAM1A
157,ADAM22
158,ADAM28
159,ADAM29
160,ADAM33
161,ADAM3A
162,ADAM7
163,ADAM8
164,ADAM9
165,ADAMTS1
166,ADAMTS10
167,ADAMTS12
168,ADAMTS13
169,ADAMTS15
170,ADAMTS17
171,ADAMTS18
172,ADAMTS19
173,ADAMTS2
174,ADAMTS20
175,ADAMTS3
176,ADAMTS5
177,ADAMTS6
178,ADAMTS7
179,ADAMTS8
180,ADAMTS9
181,ADAMTSL2
182,ADAMTSL3
183,ADAMTSL4
184,ADAR
185,ADARB1
186,ADARB2
187,ADAT3
188,ADCY1
189,ADCY10
190,ADCY2
191,ADCY3
192,ADCY5
193,ADCY6
194,ADCY7
195,ADCY8
196,ADCY9
197,ADCYAP1
198,ADCYAP1R1
199,ADD1
200,ADD3
201,ADGRD2
202,ADGRE1
203,ADGRE2
204,ADGRE5
205,ADGRF4
206,ADGRG1
207,ADGRG2
208,ADGRG6
209,ADGRG7
210,ADGRL3
211,ADGRL4
212,ADGRV1
213,ADH1A
214,ADH1B
215,ADH1C
216,ADH4
217,ADH5
218,ADH6
219,ADH7
220,ADHFE1
221,ADI1
222,ADIPOQ
223,ADIPOR1
224,ADIPOR2
225,ADIPQTL2
226,ADIPQTL3
227,ADK
228,ADM
229,ADM2
230,ADNP
231,ADNP2
232,ADORA1
233,ADORA2A
234,ADORA2B
235,ADORA3
236,ADPRS
237,ADRA1A
238,ADRA1B
239,ADRA1D
240,ADRA2A
241,ADRA2B
242,ADRA2C
243,ADRB1
244,ADRB2
245,ADRB3
246,ADSL
247,ADSS1
248,ADSS2
249,ADTRP
250,AEBP1
251,AEN
252,AFAP1-AS1
253,AFAP1L2
254,AFF1
255,AFF2
256,AFF3
257,AFF4
258,AFG1L
259,AFG3L2
260,AFM
261,AFP
262,AGA
263,AGAP1
264,AGAP2
265,AGBL1
266,AGBL4
267,AGBL5
268,AGER
269,AGFG1
270,AGGF1
271,AGK
272,AGL
273,AGMO
274,AGO1
275,AGO2
276,AGO3
277,AGO4
278,AGPAT1
279,AGPAT2
280,AGPAT3
281,AGPS
282,AGR2
283,AGRN
284,AGRP
285,AGT
286,AGTPBP1
287,AGTR1
288,AGTR2
289,AGXT
290,AGXT2
291,AHCY
292,AHCYL2
293,AHDC1
294,AHI1
295,AHNAK
296,AHR
297,AHSA2P
298,AHSG
299,AICDA
300,AIDA
301,AIF1
302,AIFM1
303,AIMP1
304,AIMP2
305,AIP
306,AIPL1
307,AIRE
308,AJUBA
309,AK1
310,AK2
311,AK4
312,AK5
313,AK7
314,AK9
315,AKAP1
316,AKAP10
317,AKAP12
318,AKAP13
319,AKAP3
320,AKAP5
321,AKAP6
322,AKAP7
323,AKAP8
324,AKAP9
325,AKIP1
326,AKR1A1
327,AKR1B1
328,AKR1B10
329,AKR1C1
330,AKR1C2
331,AKR1C3
332,AKR1C4
333,AKR1D1
334,AKR7A3
335,AKT1
336,AKT1S1
337,AKT2
338,AKT3
339,AKTIP
340,ALAD
341,ALAS1
342,ALAS2
343,ALB
344,ALCAM
345,ALDH16A1
346,ALDH18A1
347,ALDH1A1
348,ALDH1A2
349,ALDH1A3
350,ALDH1B1
351,ALDH1L1
352,ALDH1L2
353,ALDH2
354,ALDH3A1
355,ALDH3A2
356,ALDH3B1
357,ALDH3B2
358,ALDH4A1
359,ALDH5A1
360,ALDH6A1
361,ALDH7A1
362,ALDH8A1
363,ALDH9A1
364,ALDOA
365,ALDOB
366,ALG1
367,ALG10
368,ALG10B
369,ALG11
370,ALG12
371,ALG13
372,ALG14
373,ALG2
374,ALG3
375,ALG6
376,ALG8
377,ALG9
378,ALK
379,ALKBH8
380,ALMS1
381,ALOX12
382,ALOX12B
383,ALOX15
384,ALOX5
385,ALOX5AP
386,ALOXE3
387,ALPG
388,ALPK1
389,ALPK2
390,ALPK3
391,ALPL
392,ALPPL2
393,ALS2
394,ALS2CL
395,ALX1
396,ALX3
397,ALX4
398,ALYREF
399,AMACR
400,AMBN
401,AMBP
402,AMBRA1
403,AMDHD2
404,AMELX
405,AMELY
406,AMER1
407,AMER2
408,AMFR
409,AMH
410,AMHR2
411,AMMECR1
412,AMN
413,AMOT
414,AMOTL1
415,AMPD1
416,AMPD2
417,AMPD3
418,AMT
419,AMTN
420,AMZ2P1
421,ANAPC1
422,ANAPC16
423,ANAPC4
424,ANAPC5
425,ANG
426,ANGPT1
427,ANGPT2
428,ANGPTL3
429,ANGPTL4
430,ANGPTL6
431,ANIB1
432,ANK1
433,ANK2
434,ANK3
435,ANKEF1
436,ANKFY1
437,ANKH
438,ANKK1
439,ANKLE2
440,ANKRD1
441,ANKRD11
442,ANKRD13A
443,ANKRD18A
444,ANKRD23
445,ANKRD26
446,ANKRD29
447,ANKRD30A
448,ANKRD34A
449,ANKRD46
450,ANKRD55
451,ANKRD7
452,ANKRD9
453,ANKS1A
454,ANKS1B
455,ANKS3
456,ANKS6
457,ANLN
458,ANO10
459,ANO3
460,ANO4
461,ANO5
462,ANO6
463,ANOS1
464,ANP32A
465,ANPEP
466,ANTXR1
467,ANTXR2
468,ANXA1
469,ANXA10
470,ANXA11
471,ANXA2
472,ANXA2R
473,ANXA3
474,ANXA4
475,ANXA5
476,ANXA6
477,ANXA7
478,AOAH
479,AOC1
480,AOC3
481,AOPEP
482,AOX1
483,AP1B1
484,AP1G1
485,AP1M1
486,AP1S1
487,AP1S2
488,AP1S3
489,AP2B1
490,AP2M1
491,AP2S1
492,AP3B1
493,AP3B2
494,AP3D1
495,AP3S1
496,AP3S2
497,AP4B1
498,AP4E1
499,AP4M1
500,AP4S1
501,AP5M1
502,AP5Z1
503,APAF1
504,APBA2
505,APBB1IP
506,APBB2
507,APC
508,APC2
509,APCDD1
510,APCS
511,APEX1
512,APH1A
513,APLN
514,APLP2
515,APMAP
516,APOA1
517,APOA2
518,APOA4
519,APOA5
520,APOB
521,APOBEC1
522,APOBEC3A
523,APOBEC3B
524,APOBEC3C
525,APOC1
526,APOC2
527,APOC3
528,APOC4
529,APOD
530,APOE
531,APOF
532,APOH
533,APOL1
534,APOL2
535,APOL4
536,APOL6
537,APP
538,APPL1
539,APPL2
540,APRT
541,APTX
542,AQP1
543,AQP2
544,AQP3
545,AQP4
546,AQP5
547,AQP7
548,AQP8
549,AQP9
550,AR
551,ARAF
552,ARAP3
553,ARC
554,ARCN1
555,AREG
556,ARF1
557,ARF4
558,ARF6
559,ARFGAP1
560,ARFGAP2
561,ARFGAP3
562,ARFGEF1
563,ARFGEF2
564,ARFIP1
565,ARFRP1
566,ARG1
567,ARG2
568,ARHGAP1
569,ARHGAP10
570,ARHGAP11A
571,ARHGAP12
572,ARHGAP15
573,ARHGAP18
574,ARHGAP23
575,ARHGAP24
576,ARHGAP26
577,ARHGAP28
578,ARHGAP29
579,ARHGAP30
580,ARHGAP31
581,ARHGAP32
582,ARHGAP35
583,ARHGAP4
584,ARHGAP45
585,ARHGAP5
586,ARHGAP6
587,ARHGAP9
588,ARHGDIA
589,ARHGDIB
590,ARHGEF1
591,ARHGEF10
592,ARHGEF10L
593,ARHGEF11
594,ARHGEF12
595,ARHGEF18
596,ARHGEF2
597,ARHGEF28
598,ARHGEF38
599,ARHGEF39
600,ARHGEF4
601,ARHGEF5
602,ARHGEF6
603,ARHGEF9
604,ARID1A
605,ARID1B
606,ARID2
607,ARID3A
608,ARID3B
609,ARID4A
610,ARID4B
611,ARID5B
612,ARIH2
613,ARL11
614,ARL13B
615,ARL14EP
616,ARL15
617,ARL2
618,ARL2BP
619,ARL3
620,ARL5A
621,ARL5B
622,ARL6
623,ARL6IP1
624,ARL6IP5
625,ARL6IP6
626,ARL8A
627,ARMC2
628,ARMC4
629,ARMC5
630,ARMC8
631,ARMC9
632,ARMCX1
633,ARMH3
634,ARMS2
635,ARNT
636,ARNT2
637,ARNTL
638,ARNTL2
639,ARPC1B
640,ARPC2
641,ARPC3
642,ARPC5L
643,ARPP19
644,ARR3
645,ARRB1
646,ARRB2
647,ARRDC3
648,ARSA
649,ARSB
650,ARSG
651,ARSL
652,ARTN
653,ARV1
654,ARVCF
655,ARX
656,AS3MT
657,ASAH1
658,ASAH2
659,ASAP1
660,ASAP3
661,ASB10
662,ASB15
663,ASCC1
664,ASCC3
665,ASCL1
666,ASCL2
667,ASF1A
668,ASF1B
669,ASH1L
670,ASIC1
671,ASIC2
672,ASIC3
673,ASIP
674,ASL
675,ASMT
676,ASMTL
677,ASNS
678,ASPA
679,ASPG
680,ASPH
681,ASPM
682,ASPN
683,ASPSCR1
684,ASRGL1
685,ASS1
686,ASTN1
687,ASTN2
688,ASXL1
689,ASXL2
690,ASXL3
691,ASZ1
692,ATAD1
693,ATAD3A
694,ATAD5
695,ATAT1
696,ATCAY
697,ATD
698,ATF1
699,ATF2
700,ATF3
701,ATF4
702,ATF5
703,ATF6
704,ATF7IP
705,ATG10
706,ATG101
707,ATG12
708,ATG14
709,ATG16L1
710,ATG2B
711,ATG4A
712,ATG4B
713,ATG4C
714,ATG4D
715,ATG5
716,ATG7
717,ATIC
718,ATL1
719,ATL3
720,ATM
721,ATN1
722,ATOH1
723,ATOH7
724,ATOH8
725,ATOX1
726,ATP10A
727,ATP10D
728,ATP11A
729,ATP11C
730,ATP13A2
731,ATP13A3
732,ATP1A1
733,ATP1A2
734,ATP1A3
735,ATP1A4
736,ATP1B1
737,ATP1B2
738,ATP2A1
739,ATP2A2
740,ATP2A3
741,ATP2B1
742,ATP2B2
743,ATP2B3
744,ATP2C1
745,ATP5F1A
746,ATP5F1B
747,ATP5F1D
748,ATP5F1E
749,ATP5PD
750,ATP5PF
751,ATP5S
752,ATP6
753,ATP6AP1
754,ATP6AP1L
755,ATP6AP2
756,ATP6V0A2
757,ATP6V0A4
758,ATP6V0B
759,ATP6V0D2
760,ATP6V1A
761,ATP6V1B1
762,ATP6V1B2
763,ATP6V1D
764,ATP6V1E1
765,ATP7A
766,ATP7B
767,ATP8
768,ATP8A2
769,ATP8B1
770,ATP9B
771,ATPAF1
772,ATPAF2
773,ATR
774,ATRIP
775,ATRN
776,ATRX
777,ATXN1
778,ATXN10
779,ATXN1L
780,ATXN2
781,ATXN3
782,ATXN7
783,ATXN8
784,ATXN8OS
785,AUH
786,AURKA
787,AURKB
788,AURKC
789,AUTS2
790,AVEN
791,AVL9
792,AVP
793,AVPI1
794,AVPR1A
795,AVPR1B
796,AVPR2
797,AXIN1
798,AXIN2
799,AXL
800,AZGP1
801,Axl
802,B2M
803,B3GALNT2
804,B3GALT1
805,B3GALT6
806,B3GAT1
807,B3GAT2
808,B3GAT3
809,B3GLCT
810,B3GNT2
811,B3GNT9
812,B4GALNT1
813,B4GALNT2
814,B4GALT1
815,B4GALT4
816,B4GALT5
817,B4GALT7
818,B4GAT1
819,B9D1
820,B9D2
821,BAALC
822,BAAT
823,BABAM1
824,BACE1
825,BACE2
826,BACH1
827,BACH2
828,BAD
829,BAG1
830,BAG3
831,BAG5
832,BAIAP2L1
833,BAK1
834,BAMBI
835,BANF1
836,BANK1
837,BANP
838,BAP1
839,BARD1
840,BARX1
841,BASP1
842,BATF2
843,BATF3
844,BAX
845,BAZ1B
846,BAZ2A
847,BBC3
848,BBIP1
849,BBOF1
850,BBOX1
851,BBS1
852,BBS10
853,BBS12
854,BBS2
855,BBS4
856,BBS5
857,BBS7
858,BBS9
859,BCAP31
860,BCAR1
861,BCAR3
862,BCAR4
863,BCAS1
864,BCAS2
865,BCAT1
866,BCAT2
867,BCHE
868,BCKDHA
869,BCKDHB
870,BCKDK
871,BCL10
872,BCL11A
873,BCL11B
874,BCL2
875,BCL2A1
876,BCL2L1
877,BCL2L11
878,BCL2L12
879,BCL2L2
880,BCL3
881,BCL6
882,BCL7C
883,BCL9
884,BCL9L
885,BCLAF1
886,BCO1
887,BCO2
888,BCOR
889,BCORL1
890,BCR
891,BCRP3
892,BCS1L
893,BDH1
894,BDKRB1
895,BDKRB2
896,BDNF
897,BDP1
898,BEAN1
899,BECN1
900,BEGAIN
901,BEND2
902,BEND7
903,BEST1
904,BEST3
905,BEX4
906,BFSP1
907,BFSP2
908,BGLAP
909,BGN
910,BHLHA9
911,BHLHE40
912,BHLHE41
913,BHMT
914,BHMT2
915,BICC1
916,BICD2
917,BID
918,BIN1
919,BIN3
920,BIRC2
921,BIRC3
922,BIRC5
923,BIRC6
924,BIRC7
925,BLIMP1
926,BLK
927,BLM
928,BLNK
929,BLOC1S1
930,BLOC1S2
931,BLOC1S3
932,BLOC1S6
933,BLVRA
934,BLVRB
935,BMF
936,BMI1
937,BMP1
938,BMP15
939,BMP2
940,BMP2K
941,BMP4
942,BMP5
943,BMP6
944,BMP7
945,BMP8A
946,BMPER
947,BMPR1A
948,BMPR1B
949,BMPR1B-DT
950,BMPR2
951,BMS1
952,BMX
953,BNC2
954,BNIP2
955,BNIP3
956,BNIP3L
957,BOC
958,BOD1L1
959,BOLA3
960,BOLL
961,BOP1
962,BPGM
963,BPIFA1
964,BPIFA2
965,BPIFB2
966,BPNT1
967,BPTF
968,BPY2
969,BRAF
970,BRAP
971,BRAT1
972,BRCA1
973,BRCA2
974,BRCC3
975,BRD1
976,BRD2
977,BRD3
978,BRD4
979,BRD7
980,BRD8
981,BRD9
982,BRDT
983,BRF1
984,BRINP1
985,BRIP1
986,BRMS1
987,BRPF1
988,BRPF3
989,BRSK1
990,BRSK2
991,BRWD1
992,BRWD3
993,BSCL2
994,BSG
995,BSN
996,BSND
997,BST1
998,BTBD1
999,BTBD11
1000,BTBD9
1001,BTC
1002,BTD
1003,BTG1
1004,BTG2
1005,BTG3
1006,BTK
1007,BTN3A2
1008,BTNL2
1009,BTRC
1010,BUB1
1011,BUB1B
1012,BUB3
1013,BVES
1014,BZW1
1015,BZW2
1016,Bace1
1017,Bdnf
1018,Becn1
1019,C10orf82
1020,C11orf21
1021,C11orf65
1022,C11orf68
1023,C11orf80
1024,C11orf95
1025,C12orf4
1026,C12orf57
1027,C12orf65
1028,C12orf66
1029,C12orf76
1030,C14orf180
1031,C14orf28
