,mir
0,hsa-mir-1
1,hsa-mir-1-1
2,hsa-mir-1-2
3,hsa-mir-10
4,hsa-mir-100
5,hsa-mir-101
6,hsa-mir-101-1
7,hsa-mir-101-2
8,hsa-mir-101a
9,hsa-mir-103
10,hsa-mir-103-1
11,hsa-mir-103-2
12,hsa-mir-103a
13,hsa-mir-103a-1
14,hsa-mir-103a-2
15,hsa-mir-103a-3p
16,hsa-mir-103b
17,hsa-mir-103b-1
18,hsa-mir-103b-2
19,hsa-mir-105
20,hsa-mir-105-1
21,hsa-mir-105-2
22,hsa-mir-106
23,hsa-mir-106a
24,hsa-mir-106b
25,hsa-mir-106b-5p
26,hsa-mir-107
27,hsa-mir-10a
28,hsa-mir-10b
29,hsa-mir-112
30,hsa-mir-1165
31,hsa-mir-1178
32,hsa-mir-1179
33,hsa-mir-1180
34,hsa-mir-1181
35,hsa-mir-1182
36,hsa-mir-1183
37,hsa-mir-1184
38,hsa-mir-1184-1
39,hsa-mir-1185
40,hsa-mir-1185-1
41,hsa-mir-12
42,hsa-mir-120
43,hsa-mir-1201
44,hsa-mir-1202
45,hsa-mir-1203
46,hsa-mir-1204
47,hsa-mir-1206
48,hsa-mir-1207
49,hsa-mir-122
50,hsa-mir-1224
51,hsa-mir-1225
52,hsa-mir-1226
53,hsa-mir-1227
54,hsa-mir-1228
55,hsa-mir-1229
56,hsa-mir-122a
57,hsa-mir-1231
58,hsa-mir-1233
59,hsa-mir-1233-1
60,hsa-mir-1233-2
61,hsa-mir-1234
62,hsa-mir-1236
63,hsa-mir-1237
64,hsa-mir-1238
65,hsa-mir-124
66,hsa-mir-124-1
67,hsa-mir-124-2
68,hsa-mir-124-3
69,hsa-mir-1244
70,hsa-mir-1245
71,hsa-mir-1245a
72,hsa-mir-1245b
73,hsa-mir-1246
74,hsa-mir-1247
75,hsa-mir-1248
76,hsa-mir-1249
77,hsa-mir-124a
78,hsa-mir-124a-1
79,hsa-mir-124a-2
80,hsa-mir-124a-3
81,hsa-mir-125
82,hsa-mir-1252
83,hsa-mir-1253
84,hsa-mir-1254
85,hsa-mir-1254-1
86,hsa-mir-1255a
87,hsa-mir-1256
88,hsa-mir-1258
89,hsa-mir-125a
90,hsa-mir-125a-3p
91,hsa-mir-125a-5p
92,hsa-mir-125b
93,hsa-mir-125b-1
94,hsa-mir-125b-2
95,hsa-mir-126
96,hsa-mir-1260
97,hsa-mir-1260a
98,hsa-mir-1260b
99,hsa-mir-1261
100,hsa-mir-1264
101,hsa-mir-1265
102,hsa-mir-1266
103,hsa-mir-1267
104,hsa-mir-1268
105,hsa-mir-1268a
106,hsa-mir-1268b
107,hsa-mir-1269
108,hsa-mir-1269a
109,hsa-mir-1269b
110,hsa-mir-126a
111,hsa-mir-127
112,hsa-mir-127-3p
113,hsa-mir-1270
114,hsa-mir-1271
115,hsa-mir-1273
116,hsa-mir-1273a
117,hsa-mir-1273c
118,hsa-mir-1273d
119,hsa-mir-1273g
120,hsa-mir-1274a
121,hsa-mir-1274b
122,hsa-mir-1275
123,hsa-mir-1276
124,hsa-mir-1277
125,hsa-mir-128
126,hsa-mir-128-1
127,hsa-mir-128-2
128,hsa-mir-1280
129,hsa-mir-1281
130,hsa-mir-1282
131,hsa-mir-1283
132,hsa-mir-1284
133,hsa-mir-1285
134,hsa-mir-1285-1
135,hsa-mir-1285-2
136,hsa-mir-1286
137,hsa-mir-1287
138,hsa-mir-1288
139,hsa-mir-128a
140,hsa-mir-128b
141,hsa-mir-129
142,hsa-mir-129-1
143,hsa-mir-129-2
144,hsa-mir-129-5p
145,hsa-mir-1290
146,hsa-mir-1291
147,hsa-mir-1292
148,hsa-mir-1293
149,hsa-mir-1294
150,hsa-mir-1295
151,hsa-mir-1295a
152,hsa-mir-1295b
153,hsa-mir-1296
154,hsa-mir-1297
155,hsa-mir-1298
156,hsa-mir-1299
157,hsa-mir-129b
158,hsa-mir-130
159,hsa-mir-1300
160,hsa-mir-1301
161,hsa-mir-1302
162,hsa-mir-1302-1
163,hsa-mir-1302-2
164,hsa-mir-1302-3
165,hsa-mir-1302-4
166,hsa-mir-1302-5
167,hsa-mir-1302-6
168,hsa-mir-1302-7
169,hsa-mir-1302-8
170,hsa-mir-1303
171,hsa-mir-1304
172,hsa-mir-1305
173,hsa-mir-1306
174,hsa-mir-1307
175,hsa-mir-1308
176,hsa-mir-130a
177,hsa-mir-130b
178,hsa-mir-132
179,hsa-mir-1321
180,hsa-mir-1322
181,hsa-mir-1323
182,hsa-mir-1324
183,hsa-mir-133
184,hsa-mir-133a
185,hsa-mir-133a-1
186,hsa-mir-133a-2
187,hsa-mir-133b
188,hsa-mir-134
189,hsa-mir-1343
190,hsa-mir-135
191,hsa-mir-135a
192,hsa-mir-135a-1
193,hsa-mir-135a-2
194,hsa-mir-135b
195,hsa-mir-136
196,hsa-mir-137
197,hsa-mir-138
198,hsa-mir-138-1
199,hsa-mir-138-2
200,hsa-mir-139
201,hsa-mir-139-5p
202,hsa-mir-140
203,hsa-mir-140-5p
204,hsa-mir-141
205,hsa-mir-141-3p
206,hsa-mir-142-3p
207,hsa-mir-142-5p
208,hsa-mir-142a
209,hsa-mir-143
210,hsa-mir-143-5p
211,hsa-mir-144
212,hsa-mir-145
213,hsa-mir-145-5p
214,hsa-mir-145a
215,hsa-mir-146
216,hsa-mir-1468
217,hsa-mir-1469
